listing_id,neighbourhood,zipcode,price
5534192,Washington Heights,10033,99
5534660,Greenpoint,11222,120
5534962,Soho,10013,150
5536638,Williamsburg,11211,85
5541897,Upper West Side,10023,140
5543210,Columbia Street Waterfront,11231,90
5546017,Harlem,10037,129
5547081,Bedford-Stuyvesant,11216,298
5548012,Hell's Kitchen,10019,200
5549706,Midtown,10016,250
5550458,Upper East Side,10028,59
5558596,Upper West Side,10023,146
5561355,Williamsburg,11211,110
5562962,Upper East Side,10028,149
5566452,,11237,100
5567278,West Village,10014,220
5567361,Lefferts Garden,11225,110
5567401,Williamsburg,11206,99
5571405,Upper East Side,10065,73
5576528,Hudson Square,10014,75
5579629,Greenpoint,11222,54
5580236,Upper West Side,10025,250
5588684,Greenpoint,11222,190
5593205,Brooklyn Navy Yard,11205,45
5593725,Hamilton Heights,10031,46
5593975,Bedford-Stuyvesant,11237,125
5598429,Park Slope,11213,200
5598741,,10016,290
5598992,,10016,158
5615835,East Village,10009,80
5621141,Chelsea,10011,230
5626601,Hamilton Heights,10031,55
5627418,Bedford-Stuyvesant,11233,135
5627944,Midtown East,10022,182
5636395,Bedford-Stuyvesant,11206,81
5638917,Greenpoint,11222,125
5639584,Greenpoint,11222,99
5641857,Hamilton Heights,10031,100
5649163,Bedford-Stuyvesant,11216,101
5649623,Upper West Side,10025,2000
5650479,Bedford-Stuyvesant,11216,59
5651523,East Harlem,10029,160
5652946,Lefferts Garden,11225,45
5656458,Cobble Hill,11231,235
5656639,Upper West Side,10024,275
5660615,East Village,10003,115
5661080,Chelsea,10001,165
5661381,Upper West Side,10025,400
5670672,Clinton Hill,11238,188
5672615,Crown Heights,11216,50
5678143,Fort Greene,11205,130
5680714,Bedford-Stuyvesant,11233,90
5683505,Williamsburg,11211,200
5690007,Washington Heights,10040,50
5695566,Bedford-Stuyvesant,11216,40
5697556,Williamsburg,11211,155
5705775,Boerum Hill,11217,165
5707546,Nolita,10012,99
5707653,Williamsburg,11206,82
5707711,Forest Hills,11375,59
5718935,Upper West Side,10025,225
5720133,Lefferts Garden,11225,98
5720988,West Village,10014,200
5725154,Downtown Brooklyn,11201,150
5734275,Midtown East,10022,160
5750426,Williamsburg,11206,88
5756476,Kips Bay,10010,150
5760832,Brighton Beach,11235,250
5761831,Williamsburg,11206,60
5763191,Upper West Side,10023,68
5770283,Williamsburg,11211,80
5770483,Hell's Kitchen,10019,165
5774245,Clinton Hill,11205,140
5779752,Alphabet City,10009,125
5783899,East Harlem,10029,100
5783925,East Harlem,10029,50
5789606,Harlem,10026,70
5790990,Williamsburg,11249,70
5791540,Brooklyn Heights,11201,200
5792453,East Village,10003,185
5804184,Bushwick,11206,45
5805837,Williamsburg,11211,300
5806273,Hamilton Heights,10031,65
5806687,Bushwick,11221,65
5806803,Clinton Hill,11205,65
5810581,Crown Heights,11238,195
5811500,Ridgewood,11385,54
5816112,Clinton Hill,11205,90
5816151,Clinton Hill,11205,90
5818551,Hamilton Heights,10031,135
5825911,Park Slope,11217,450
5834668,Greenpoint,11222,130
5838858,Chinatown,10013,65
5839029,Williamsburg,11211,260
5842819,Williamsburg,11211,90
5846654,Upper East Side,10021,110
5849810,Bushwick,11207,69
5849991,East Flatbush,11203,249
5850040,Bushwick,11207,89
5850148,Bushwick,11207,159
5851054,Bushwick,11237,95
5857390,Chelsea,10011,180
5857917,Hell's Kitchen,10019,230
5860123,Clinton Hill,11238,170
5861963,Astoria,11103,90
5869197,Upper West Side,10023,250
5870127,Bedford-Stuyvesant,11233,185
5871372,Williamsbridge,10467,56
5872177,Chelsea,10011,163
5873714,East Village,10003,195
5881415,Williamsburg,11211,159
5888002,Rosebank,10305,70
5889379,Mott Haven,10456,65
5892733,Astoria,11102,45
5893277,Astoria,11102,175
5893612,Lower East Side,10002,165
5894720,Williamsburg,11211,234
5894824,Lefferts Garden,11226,105
5895082,Flushing,11358,55
5899598,St. George,10301,71
5915351,Bedford-Stuyvesant,11216,150
5916063,Fort Greene,11205,55
5916713,Williamsburg,11211,69
5917209,Bedford-Stuyvesant,11216,190
